date,hospital,requests,A+,A-,B+,B-,AB+,AB-,O+,O-
2022-01-01,Hospital Muadzam Shah,0,0,0,0,0,0,0,0,0
2022-01-01,"Hospital Sultan Haji Ahmad Shah, Temerloh",0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Cameron Highlands,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Rompin,7,0,0,1,0,0,0,6,0
2022-01-01,Hospital Universiti Islam Antabangsa (UIA) Kuantan,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Bera,0,0,0,0,0,0,0,0,0
2022-01-01,Penang General Hospital,20,5,0,3,0,0,0,12,0
2022-01-01,Hospital Sungai Bakap,16,5,0,5,0,0,0,6,0
2022-01-01,Hospital Bukit Mertajam,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Balik Pulau,24,2,0,11,0,1,0,10,0
2022-01-01,Hospital Seberang Jaya,16,3,0,4,0,1,0,7,1
2022-01-01,Hospital Kepala Batas,6,0,0,5,0,0,0,1,0
2022-01-01,Hospital Batu Gajah,49,14,0,16,1,1,0,17,0
2022-01-01,"Hospital Bahagia Ulu Kinta, Tanjung Rambutan",20,3,0,7,0,2,0,8,0
2022-01-01,Hospital Changkat Melintang,24,6,0,5,0,4,0,9,0
2022-01-01,Hospital Grik,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Kampar,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Kuala Kangsar,24,11,0,2,0,3,0,8,0
2022-01-01,Hospital Parit Buntar,8,1,0,3,0,1,0,3,0
2022-01-01,"Hospital Raja Permaisuri Bainun, Ipoh",0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Selama,40,13,0,7,1,3,0,16,0
2022-01-01,Hospital Seri Manjung,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Sg. Siput,35,6,0,11,0,1,0,17,0
2022-01-01,Hospital Slim River,40,5,0,15,0,6,0,14,0
2022-01-01,Hospital Tapah,42,10,0,13,0,0,0,18,1
2022-01-01,Hospital Taiping,14,3,0,1,1,0,0,9,0
2022-01-01,Hospital Teluk Intan,25,6,0,7,1,1,0,10,0
2022-01-01,"Hospital Tuanku Fauziah, Kangar",0,0,0,0,0,0,0,0,0
2022-01-01,Putrajaya Hospital,0,0,0,0,0,0,0,0,0
2022-01-01,National Cancer Institute,20,6,1,7,0,1,0,5,0
2022-01-01,"Queen Elizabeth Hospital, Kota Kinabalu (I & II)",16,4,0,7,0,1,0,4,0
2022-01-01,"Duchess of Kent Hospital, Sandakan",42,9,0,13,0,2,0,18,0
2022-01-01,Hospital Beaufort,15,3,0,6,0,1,0,5,0
2022-01-01,Hospital Beluran,6,1,0,0,0,1,0,4,0
2022-01-01,Hospital Keningau,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Kinabatangan,20,6,0,4,0,1,0,9,0
2022-01-01,Hospital Kota Belud,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Kota Marudu,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Kuala Penyu,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Kudat,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Lahad Datu,35,9,0,10,0,2,0,14,0
2022-01-01,Hospital Mesra Bukit Padang,10,1,0,2,0,3,0,4,0
2022-01-01,Hospital Papar,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Ranau,14,3,0,2,0,0,0,9,0
2022-01-01,Hospital Semporna,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Sipitang,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Tambunan,24,10,0,6,0,0,0,8,0
2022-01-01,Hospital Tawau,24,2,0,7,0,3,0,12,0
2022-01-01,Hospital Tenom,56,12,0,18,0,3,0,23,0
2022-01-01,Hospital Wanita dan Kanak-Kanak Sabah[5],0,0,0,0,0,0,0,0,0
2022-01-01,Sarawak General Hospital,0,0,0,0,0,0,0,0,0
2022-01-01,"Sarawak General Hospital, Kota Samarahan (Cardiac services)",21,7,0,4,0,0,0,10,0
2022-01-01,Hospital Bau,24,6,0,5,0,0,0,13,0
2022-01-01,Hospital Sibu,96,30,0,21,2,3,0,40,0
2022-01-01,Hospital Miri,5,1,0,4,0,0,0,0,0
2022-01-01,Hospital Sarikei,5,1,0,3,0,0,0,1,0
2022-01-01,Hospital Sri Aman,25,8,0,11,0,1,0,5,0
2022-01-01,Hospital Limbang,7,2,0,0,0,0,0,5,0
2022-01-01,Hospital Lawas,8,1,0,3,0,1,0,3,0
2022-01-01,Hospital Kapit,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Sentosa,32,7,0,5,1,4,0,15,0
2022-01-01,Hospital Mukah,30,8,0,7,0,2,0,13,0
2022-01-01,Hospital Marudi,14,1,0,4,0,1,0,8,0
2022-01-01,Hospital Lundu,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Bintulu,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Betong,6,1,0,3,0,0,0,2,0
2022-01-01,Hospital Serian,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Simunjan,8,1,0,5,0,1,0,1,0
2022-01-01,Rajah Charles Brooke Memorial Hospital,10,1,0,7,0,1,0,1,0
2022-01-01,Hospital Kanowit,16,3,0,7,1,1,0,4,0
2022-01-01,Hospital Saratok,5,2,0,2,0,0,0,1,0
2022-01-01,Hospital Dalat,25,4,0,11,1,1,0,7,1
2022-01-01,Hospital Shah Alam,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Ampang,6,2,0,2,0,0,0,2,0
2022-01-01,Hospital Banting,48,11,0,18,0,2,0,17,0
2022-01-01,Hospital Kajang,40,5,0,17,0,3,0,15,0
2022-01-01,Hospital Kuala Kubu Baru,24,4,0,11,0,2,0,7,0
2022-01-01,Hospital Selayang,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Sultan Idris Shah Serdang,64,19,0,13,1,8,0,21,2
2022-01-01,Hospital Sungai Buloh,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Tanjung Karang,48,8,0,14,0,7,0,19,0
2022-01-01,"Hospital Tengku Ampuan Jemaah, Sabak Bernam",5,1,0,3,0,0,0,1,0
2022-01-01,"Hospital Tengku Ampuan Rahimah, Klang",40,14,0,12,0,4,0,9,1
2022-01-01,Universiti Putra Malaysia Teaching Hospital,18,6,0,4,0,3,0,5,0
2022-01-01,"Universiti Teknologi MARA Teaching Hospital, Puncak Alam",10,0,0,4,0,1,0,5,0
2022-01-01,"Hospital Sultanah Nur Zahirah, Kuala Terengganu",0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Dungun,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Kemaman,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Besut,7,1,0,3,0,0,0,3,0
2022-01-01,Hospital Hulu Terengganu,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Setiu,0,0,0,0,0,0,0,0,0
2022-01-02,"Hospital Pakar Sultanah Fatimah, Muar",10,3,0,5,0,0,0,2,0
2022-01-02,"Hospital Sultanah Nora Ismail, Batu Pahat",48,8,0,16,0,1,0,22,1
2022-01-02,"Hospital Enche Besar Hajjah Kalsom, Kluang",0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Segamat,7,1,0,3,0,0,0,3,0
2022-01-02,Hospital Pontian,5,1,0,2,0,0,0,2,0
2022-01-02,Hospital Kota Tinggi,14,1,0,5,0,1,0,7,0
2022-01-02,Hospital Mersing,7,1,0,5,0,1,0,0,0
2022-01-02,Hospital Tangkak,10,3,0,1,0,1,0,5,0
2022-01-02,"Hospital Temenggung Seri Maharaja Tun Ibrahim, Kulai",21,4,0,5,0,4,0,8,0
2022-01-02,Sultan Ismail Hospital,8,2,0,4,0,0,0,2,0
2022-01-02,"Hospital Sultanah Aminah, Johor Bahru[2]",0,0,0,0,0,0,0,0,0
2022-01-02,"Sultanah Bahiyah Hospital, Alor Setar",21,1,0,5,0,2,0,13,0
2022-01-02,"Sultan Abdul Halim Hospital, Sungai Petani",8,1,0,3,0,1,0,3,0
2022-01-02,Pendang Hospital,21,5,0,11,1,0,0,4,0
2022-01-02,Kulim Hospital,0,0,0,0,0,0,0,0,0
2022-01-02,Baling Hospital,5,1,0,3,0,0,0,1,0
2022-01-02,Sik Hospital,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Yan,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Jitra,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Kuala Nerang,0,0,0,0,0,0,0,0,0
2022-01-02,"Hospital Raja Perempuan Zainab II, Kota Bharu",30,5,0,7,0,0,0,18,0
2022-01-02,Hospital Pasir Mas,10,5,0,2,0,0,0,3,0
2022-01-02,Hospital Tumpat,12,5,0,3,0,1,0,3,0
2022-01-02,Hospital Machang,18,6,0,5,0,0,0,7,0
2022-01-02,Hospital Jeli,24,4,0,8,1,0,0,11,0
2022-01-02,Hospital Tanah Merah,32,4,0,8,0,3,0,17,0
2022-01-02,"Hospital Tengku Anis, Pasir Putih",8,4,0,3,0,1,0,0,0
2022-01-02,Hospital Gua Musang,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Kuala Krai,8,4,0,1,0,1,0,2,0
2022-01-02,Hospital Universiti Sains Malaysia (HUSM),28,7,0,7,1,3,0,10,0
2022-01-02,Kuala Lumpur Hospital,0,0,0,0,0,0,0,0,0
2022-01-02,National Heart Institute of Malaysia (IJN),15,3,0,7,0,1,0,4,0
2022-01-02,Hospital Canselor Tuanku Muhriz UKM (HCTM),42,10,0,10,0,4,0,17,1
2022-01-02,University Malaya Medical Centre (UMMC),8,3,1,2,0,1,0,1,0
2022-01-02,Hospital Angkatan Tentera Tuanku Mizan,28,6,0,9,0,1,0,12,0
2022-01-02,Hospital Rehabilitasi Cheras,5,1,0,2,0,0,0,2,0
2022-01-02,Hospital Nukleus Labuan,24,5,1,5,0,4,0,9,0
2022-01-02,Jabatan Kesihatan Labuan,6,0,0,3,1,0,0,2,0
2022-01-02,Malacca General Hospital,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Alor Gajah,18,5,0,3,0,1,0,8,1
2022-01-02,Hospital Jasin,54,9,0,20,0,3,1,21,0
2022-01-02,Hospital Angkatan Tentera Terendak,12,2,0,5,0,0,0,5,0
2022-01-02,Tuanku Ja'afar Hospital,0,0,0,0,0,0,0,0,0
2022-01-02,"Hospital Tuanku Ampuan Najihah, Kuala Pilah",28,6,0,12,0,3,0,7,0
2022-01-02,Hospital Port Dickson,6,2,0,1,0,0,0,3,0
2022-01-02,Hospital Tampin,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Jelebu,28,9,0,5,1,0,0,13,0
2022-01-02,Hospital Jempol,5,1,0,1,0,0,0,3,0
2022-01-02,Hospital Rembau,6,1,0,2,0,1,0,2,0
2022-01-02,Tengku Ampuan Afzan Hospital,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Pekan,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Kuala Lipis,12,2,1,5,0,1,0,3,0
2022-01-02,Hospital Raub,5,0,0,2,0,1,0,2,0
2022-01-02,Hospital Bentong,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Jerantut,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Jengka,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Muadzam Shah,0,0,0,0,0,0,0,0,0
2022-01-02,"Hospital Sultan Haji Ahmad Shah, Temerloh",0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Cameron Highlands,7,2,0,3,0,0,0,2,0
2022-01-02,Hospital Rompin,30,7,1,7,0,3,0,12,0
2022-01-02,Hospital Universiti Islam Antabangsa (UIA) Kuantan,6,2,1,1,0,0,0,2,0
2022-01-02,Hospital Bera,14,5,0,3,0,0,0,6,0
2022-01-02,Penang General Hospital,32,11,0,10,0,2,0,9,0
2022-01-02,Hospital Sungai Bakap,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Bukit Mertajam,5,2,0,1,0,0,0,2,0
2022-01-02,Hospital Balik Pulau,21,7,0,3,0,2,0,9,0
2022-01-02,Hospital Seberang Jaya,10,4,0,3,0,0,0,3,0
2022-01-02,Hospital Kepala Batas,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Batu Gajah,56,14,0,18,0,3,0,21,0
2022-01-02,"Hospital Bahagia Ulu Kinta, Tanjung Rambutan",14,4,0,7,0,1,0,2,0
2022-01-02,Hospital Changkat Melintang,42,10,0,8,0,3,0,21,0
2022-01-02,Hospital Grik,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Kampar,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Kuala Kangsar,18,8,0,2,0,4,0,4,0
2022-01-02,Hospital Parit Buntar,15,6,0,6,0,0,0,3,0
2022-01-02,"Hospital Raja Permaisuri Bainun, Ipoh",0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Selama,40,12,0,14,1,0,0,13,0
2022-01-02,Hospital Seri Manjung,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Sg. Siput,12,6,0,2,0,3,0,1,0
2022-01-02,Hospital Slim River,25,7,0,6,0,2,0,10,0
2022-01-02,Hospital Tapah,18,2,0,5,0,3,0,8,0
2022-01-02,Hospital Taiping,24,8,0,6,0,2,0,8,0
2022-01-02,Hospital Teluk Intan,5,2,0,1,0,0,0,2,0
2022-01-02,"Hospital Tuanku Fauziah, Kangar",6,2,0,2,0,0,0,2,0
2022-01-02,Putrajaya Hospital,0,0,0,0,0,0,0,0,0
2022-01-02,National Cancer Institute,5,1,0,1,0,3,0,0,0
2022-01-02,"Queen Elizabeth Hospital, Kota Kinabalu (I & II)",14,2,0,7,0,1,0,4,0
2022-01-02,"Duchess of Kent Hospital, Sandakan",20,2,0,9,0,2,0,7,0
2022-01-02,Hospital Beaufort,8,2,0,2,0,0,0,4,0
2022-01-02,Hospital Beluran,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Keningau,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Kinabatangan,42,8,0,13,0,2,0,19,0
2022-01-02,Hospital Kota Belud,7,0,0,2,0,2,0,3,0
2022-01-02,Hospital Kota Marudu,24,3,0,8,0,1,0,12,0
2022-01-02,Hospital Kuala Penyu,6,3,0,2,0,0,0,1,0
2022-01-02,Hospital Kudat,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Lahad Datu,16,6,0,2,0,1,0,7,0
2022-01-02,Hospital Mesra Bukit Padang,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Papar,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Ranau,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Semporna,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Sipitang,10,3,0,4,0,2,0,1,0
2022-01-02,Hospital Tambunan,8,1,0,5,0,0,0,2,0
2022-01-02,Hospital Tawau,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Tenom,24,4,0,7,0,3,0,10,0
2022-01-02,Hospital Wanita dan Kanak-Kanak Sabah[5],7,0,0,1,0,1,0,5,0
2022-01-02,Sarawak General Hospital,0,0,0,0,0,0,0,0,0
2022-01-02,"Sarawak General Hospital, Kota Samarahan (Cardiac services)",49,12,0,13,1,3,0,20,0
2022-01-02,Hospital Bau,24,2,0,5,0,2,0,15,0
2022-01-02,Hospital Sibu,70,15,0,18,0,7,1,29,0
2022-01-02,Hospital Miri,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Sarikei,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Sri Aman,35,9,1,10,1,4,0,10,0
2022-01-02,Hospital Limbang,16,4,0,3,0,1,0,7,1
2022-01-02,Hospital Lawas,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Kapit,8,2,0,4,0,0,0,2,0
2022-01-02,Hospital Sentosa,35,10,0,10,0,4,0,10,1
2022-01-02,Hospital Mukah,35,10,0,10,0,1,0,13,1
2022-01-02,Hospital Marudi,6,0,0,3,0,1,0,2,0
2022-01-02,Hospital Lundu,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Bintulu,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Betong,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Serian,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Simunjan,7,0,0,3,0,0,0,4,0
2022-01-02,Rajah Charles Brooke Memorial Hospital,48,10,0,15,0,2,0,20,1
2022-01-02,Hospital Kanowit,14,4,0,5,0,1,0,4,0
2022-01-02,Hospital Saratok,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Dalat,12,4,0,4,0,1,0,3,0
2022-01-02,Hospital Shah Alam,10,4,0,4,0,0,0,2,0
2022-01-02,Hospital Ampang,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Banting,30,14,0,5,0,3,0,8,0
2022-01-02,Hospital Kajang,96,21,0,26,0,7,0,42,0
2022-01-02,Hospital Kuala Kubu Baru,15,1,1,5,0,2,0,6,0
2022-01-02,Hospital Selayang,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Sultan Idris Shah Serdang,40,14,0,15,0,4,0,7,0
2022-01-02,Hospital Sungai Buloh,14,6,0,2,1,2,0,3,0
2022-01-02,Hospital Tanjung Karang,25,5,0,4,1,1,0,13,1
2022-01-02,"Hospital Tengku Ampuan Jemaah, Sabak Bernam",12,4,0,4,0,0,0,4,0
2022-01-02,"Hospital Tengku Ampuan Rahimah, Klang",50,14,0,16,1,3,0,16,0
2022-01-02,Universiti Putra Malaysia Teaching Hospital,30,5,0,7,1,0,0,17,0
2022-01-02,"Universiti Teknologi MARA Teaching Hospital, Puncak Alam",40,12,0,14,1,1,0,12,0
2022-01-02,"Hospital Sultanah Nur Zahirah, Kuala Terengganu",0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Dungun,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Kemaman,7,1,0,1,1,0,0,4,0
2022-01-02,Hospital Besut,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Hulu Terengganu,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Setiu,0,0,0,0,0,0,0,0,0
2022-01-03,"Hospital Pakar Sultanah Fatimah, Muar",12,3,0,2,0,0,0,7,0
2022-01-03,"Hospital Sultanah Nora Ismail, Batu Pahat",48,12,0,18,0,1,0,17,0
2022-01-03,"Hospital Enche Besar Hajjah Kalsom, Kluang",0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Segamat,7,1,0,1,0,0,0,5,0
2022-01-03,Hospital Pontian,5,0,0,2,0,0,0,3,0
2022-01-03,Hospital Kota Tinggi,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Mersing,8,4,0,1,0,0,0,3,0
2022-01-03,Hospital Tangkak,10,2,0,2,0,1,0,5,0
2022-01-03,"Hospital Temenggung Seri Maharaja Tun Ibrahim, Kulai",21,6,0,4,1,0,0,10,0
2022-01-03,Sultan Ismail Hospital,7,1,0,1,0,0,0,5,0
2022-01-03,"Hospital Sultanah Aminah, Johor Bahru[2]",10,4,0,2,0,1,0,3,0
2022-01-03,"Sultanah Bahiyah Hospital, Alor Setar",24,4,0,11,0,1,0,8,0
2022-01-03,"Sultan Abdul Halim Hospital, Sungai Petani",7,1,0,1,0,1,0,4,0
2022-01-03,Pendang Hospital,30,6,0,10,0,1,0,13,0
2022-01-03,Kulim Hospital,0,0,0,0,0,0,0,0,0
2022-01-03,Baling Hospital,10,1,1,4,0,1,0,3,0
2022-01-03,Sik Hospital,14,4,0,4,0,2,0,4,0
2022-01-03,Hospital Yan,8,2,1,2,0,0,0,3,0
2022-01-03,Hospital Jitra,10,3,0,4,0,0,0,3,0
2022-01-03,Hospital Kuala Nerang,0,0,0,0,0,0,0,0,0
2022-01-03,"Hospital Raja Perempuan Zainab II, Kota Bharu",48,9,0,21,0,1,0,17,0
2022-01-03,Hospital Pasir Mas,30,4,0,13,0,3,0,10,0
2022-01-03,Hospital Tumpat,14,2,0,4,0,2,0,6,0
2022-01-03,Hospital Machang,12,4,0,3,0,1,0,4,0
2022-01-03,Hospital Jeli,18,6,0,7,0,0,0,5,0
2022-01-03,Hospital Tanah Merah,20,6,0,6,0,2,0,6,0
2022-01-03,"Hospital Tengku Anis, Pasir Putih",0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Gua Musang,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Kuala Krai,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Universiti Sains Malaysia (HUSM),20,4,0,5,0,1,0,9,1
2022-01-03,Kuala Lumpur Hospital,0,0,0,0,0,0,0,0,0
2022-01-03,National Heart Institute of Malaysia (IJN),6,1,1,2,0,0,0,2,0
2022-01-03,Hospital Canselor Tuanku Muhriz UKM (HCTM),56,15,0,20,0,3,0,17,1
2022-01-03,University Malaya Medical Centre (UMMC),18,5,0,4,0,1,0,8,0
2022-01-03,Hospital Angkatan Tentera Tuanku Mizan,18,2,0,9,0,0,0,7,0
2022-01-03,Hospital Rehabilitasi Cheras,6,1,0,1,0,2,0,2,0
2022-01-03,Hospital Nukleus Labuan,18,5,0,5,0,1,0,7,0
2022-01-03,Jabatan Kesihatan Labuan,6,1,0,1,0,0,0,3,1
2022-01-03,Malacca General Hospital,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Alor Gajah,15,7,0,4,1,0,0,3,0
2022-01-03,Hospital Jasin,55,10,0,19,0,5,0,21,0
2022-01-03,Hospital Angkatan Tentera Terendak,24,4,0,10,1,1,0,8,0
2022-01-03,Tuanku Ja'afar Hospital,8,0,0,2,0,0,0,6,0
2022-01-03,"Hospital Tuanku Ampuan Najihah, Kuala Pilah",0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Port Dickson,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Tampin,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Jelebu,25,6,0,11,0,3,0,5,0
2022-01-03,Hospital Jempol,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Rembau,7,1,0,1,0,0,0,5,0
2022-01-03,Tengku Ampuan Afzan Hospital,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Pekan,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Kuala Lipis,7,3,0,1,1,1,0,1,0
2022-01-03,Hospital Raub,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Bentong,10,1,0,5,0,0,0,4,0
2022-01-03,Hospital Jerantut,7,3,0,2,0,0,0,2,0
2022-01-03,Hospital Jengka,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Muadzam Shah,16,5,0,4,0,1,0,6,0
2022-01-03,"Hospital Sultan Haji Ahmad Shah, Temerloh",0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Cameron Highlands,10,1,0,6,0,1,0,2,0
2022-01-03,Hospital Rompin,10,4,0,0,0,1,0,4,1
2022-01-03,Hospital Universiti Islam Antabangsa (UIA) Kuantan,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Bera,7,1,0,3,0,0,1,2,0
2022-01-03,Penang General Hospital,42,11,0,11,0,2,0,18,0
2022-01-03,Hospital Sungai Bakap,0,0,0,0,0,0,0,0,0
